ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"37.130.25.184","elite","AS15874","PL","INTERKAM sp. z o.o.","32","Interkam","5678","socks4","1","94","9500","10059","2025-06-27T20:21:04.240Z","4198"
"172.64.32.55","elite","AS13335","CA","Cloudflare, Inc.","4","Cloudflare, Inc.","80","http","20794","100","30","30","2025-06-27T20:21:04.234Z","4686"
"120.46.155.74","elite","AS55990","CN","Huawei Cloud Service data center","170","Huawei Cloud Service","7890","socks4","1","84","8348","9994","2025-06-27T20:21:04.442Z","4268"
"172.66.45.6","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","20795","100","30","30","2025-06-27T20:21:04.233Z","3675"
"85.159.4.125","elite","AS31520","UA","PRIVATE JOINT STOCK COMPANY \"DATAGROUP\"","43","Pjsc Datagroup","5678","socks4","1","87","8798","10101","2025-06-27T20:20:45.761Z","4902"
"170.254.175.209","elite","AS265641","VE","TELECOMUNICACIONES ROCARLI C.A (CIX BROADBAND)","169","TELECOMUNICACIONES ROCARLI C.A (CIX BROADBAND)","4153","socks4","1","96","3237","3371","2025-06-27T20:20:45.755Z","3600"
"178.76.254.130","elite","AS15774","RU","Electro-com Rostov","60","ZAO \"Electro-Com Don\"","4145","socks4","64","99","9915","10022","2025-06-27T20:20:45.762Z","3808"
"45.142.193.37","elite","AS12695","GB","Skynet Network LTD","14","Limited Network LTD","4665","socks4","1","43","313","732","2025-06-27T20:20:45.954Z","5094"
"168.205.218.52","elite","AS264869","BR","SPEED MAX TELECOMUNICAÇÕES LTDA ME","238","SPEED MAX TELECOMUNICAÇÕES LTDA ME","4145","socks4","1","93","1841","1974","2025-06-27T20:20:45.759Z","3678"
"189.148.251.137","elite","AS8151","MX","UNINET","160","Gestión de direccionamiento UniNet","80","socks4","1","89","520","583","2025-06-27T20:20:45.759Z","4800"
"157.245.134.203","elite","AS14061","US","DigitalOcean, LLC","99","DigitalOcean, LLC","12851","socks4","1","91","9145","10016","2025-06-27T20:20:45.827Z","4605"
"119.235.50.38","elite","AS45582","IN","VAINAVI INDUSTIES LTD, INTERNET SERVICE PROVIDER, INDIA","152","Vainavi Industries Ltd","4153","socks4","1","98","3233","3294","2025-06-27T20:20:45.948Z","4577"
"36.66.124.157","elite","AS7713","ID","PT. Telekomunikasi Indonesia","170","N/A","8080","socks4","1","99","596","603","2025-06-27T20:20:45.953Z","4095"
"192.210.196.222","elite","AS36352","US","HostPapa","139","RackNerd LLC","10800","socks4","1","98","9862","10020","2025-06-27T20:20:45.955Z","4414"
"217.197.151.181","elite","AS42908","CZ","PREROV","22","N/A","5678","socks4","1","100","10010","10039","2025-06-27T20:20:45.756Z","2512"
"172.67.177.131","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","19273","100","18","18","2025-06-27T20:20:45.737Z","2901"
"80.78.23.49","elite","AS39287","SE","ab stract","18","ab stract","39287","socks4","1","87","8777","10105","2025-06-27T20:20:45.952Z","3828"
"46.158.49.49","elite","AS12389","RU","OJSC Rostelecom Macroregional Branch South","61","OJSC Rostelecom Macroregional Branch South","7788","socks5","1","59","1874","3165","2025-06-27T20:20:45.762Z","2995"
"156.232.9.194","elite","AS138152","HK","Yisu Cloud LTD","173","Yisu Cloud Ltd","140","socks4","1","100","1384","1389","2025-06-27T20:20:45.949Z","4831"
"66.33.212.216","elite","AS22611","NL","New Dream Network","12","DreamHost","15891","socks5","1","51","5172","10093","2025-06-27T20:20:45.761Z","5202"
"93.190.138.216","elite","AS49981","NL","WorldStream B.V.","15","N/A","12970","socks4","1","100","1342","1342","2025-06-27T20:20:45.758Z","4198"
"103.21.244.87","elite","AS13335","CA","CLOUDFLARE","7","Cloudflare, inc.","80","http","19218","100","27","27","2025-06-27T20:20:45.661Z","4082"
"27.123.1.33","elite","AS45706","ID","PT Tele Globe Global","276","N/A","4153","socks4","1","100","9978","10027","2025-06-27T20:20:45.753Z","4470"
"116.203.227.24","elite","AS24940","DE","Hetzner Online GmbH","10","Hetzner","24940","socks4","1","93","9263","10013","2025-06-27T20:20:45.954Z","4907"
"45.12.30.84","elite","AS209242","GB","Cloudflare London, LLC","3","LIR Services","80","http","19083","100","33","33","2025-06-27T20:20:45.748Z","3007"
"172.67.170.170","elite","AS13335","CA","Cloudflare, Inc.","10","Cloudflare, Inc.","80","http","19214","100","17","17","2025-06-27T20:20:45.731Z","1207"
"88.99.147.241","elite","AS24940","DE","Hetzner Online GmbH","19","Hetzner","9828","socks4","1","100","108","108","2025-06-27T20:20:45.952Z","4123"
"110.34.166.182","elite","AS35908","SG","Krypt Technologies","161","N/A","4153","socks4","1","99","10044","10106","2025-06-27T20:20:45.754Z","4791"
"202.131.248.107","elite","AS9484","MN","Mobinet LLC","116","Monitoring","1080","socks4","1","53","5379","10090","2025-06-27T20:20:45.659Z","3710"
"46.254.93.38","elite","AS209242","ID","Cloudflare London, LLC","11","PT MARONDI REZEKI BAROKAH BERSAMA","80","http","19273","100","19","19","2025-06-27T20:20:45.736Z","1284"
"38.127.172.198","elite","AS174","US","Cogent Communications","88","Torlandia Trading SRL","11537","socks4","1","100","10017","10034","2025-06-27T20:20:45.955Z","4520"
"177.234.244.174","elite","AS52468","EC","Ufinet Panama S.A.","190","Negocios Y Telefonia Nedetel S.A","32213","socks4","1","100","3241","3244","2025-06-27T20:20:45.953Z","2090"
"103.21.244.180","elite","AS13335","CA","CLOUDFLARE","7","Cloudflare, inc.","80","http","19216","100","34","34","2025-06-27T20:20:45.728Z","4005"
"104.17.105.248","elite","AS13335","CA","Cloudflare, Inc.","4","Cloudflare, Inc.","80","http","19213","100","18","18","2025-06-27T20:20:45.733Z","2698"
"213.230.111.76","elite","AS8193","UZ","\"Uzbektelekom\" Joint Stock Company","119","Uztelecom Static","4145","socks4","1","30","3063","10114","2025-06-27T20:20:25.629Z","4798"
"139.59.186.196","elite","AS14061","GB","DIGITALOCEAN","19","DigitalOcean, LLC","7497","socks5","1","94","9414","10063","2025-06-27T20:20:25.630Z","5076"
"203.34.28.99","elite","AS209242","VG","Cloudflare London, LLC","61","Anaga Consulting Limited","80","socks4","1","100","10045","10049","2025-06-27T20:20:24.832Z","3584"
"103.121.62.2","elite","AS138146","BD","North Bengal Online","280","North Bengal Online","5678","socks4","1","98","3247","3317","2025-06-27T20:20:24.763Z","4183"
"115.146.127.104","elite","AS38732","VN","CMC Telecom Infrastructure Company","263","CMCTELECOM","3389","socks4","1","100","434","434","2025-06-27T20:20:24.830Z","4379"
"134.236.30.92","elite","AS131090","TH","CAT-BB","185","N/A","5678","socks4","1","57","5776","10062","2025-06-27T20:20:24.762Z","4968"
"45.12.31.163","elite","AS209242","GB","Cloudflare London, LLC","7","LIR Services","80","http","19293","100","33","33","2025-06-27T20:20:24.753Z","3092"
"104.16.2.45","elite","AS13335","CA","Cloudflare, Inc.","4","Cloudflare, Inc.","80","http","19282","100","19","19","2025-06-27T20:20:24.756Z","3780"
"206.188.205.113","elite","AS19871","US","Network Solutions, LLC","102","MonsterCommerce, LLC","8447","socks4","1","100","2846","2860","2025-06-27T20:20:24.763Z","3994"
